                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4319,                 3.3838,                 1.7273,                0.43786,                0.51861,                0.48341,                0.29252,                  1.379,                 2.0927,                 1.7465,             5.7215e-05,             5.7215e-05,             5.7215e-05
                      2,                 1.3739,                 2.2737,                  1.588,                0.57079,                0.59819,                0.60469,                0.36241,                 1.4477,                 1.7582,                 1.7509,             0.00011341,             0.00011341,             0.00011341
                      3,                 1.3848,                 2.0489,                 1.5896,                0.57542,                 0.6381,                0.63455,                0.38483,                 1.3839,                 1.6298,                 1.6798,             0.00016848,             0.00016848,             0.00016848
                      4,                 1.3771,                 1.9325,                 1.5765,                0.61086,                0.62161,                0.65566,                 0.3946,                 1.4262,                 1.5223,                 1.7405,             0.00016689,             0.00016689,             0.00016689
                      5,                 1.3447,                 1.7739,                 1.5471,                0.62563,                0.67846,                0.69362,                 0.4157,                 1.4243,                 1.4247,                  1.686,             0.00016689,             0.00016689,             0.00016689
                      6,                 1.3389,                 1.6699,                  1.541,                0.63788,                 0.7156,                0.73663,                0.45347,                 1.3999,                 1.3249,                 1.6813,             0.00016519,             0.00016519,             0.00016519
                      7,                 1.3151,                 1.5658,                 1.5175,                0.66333,                0.70989,                0.73213,                0.44982,                 1.3912,                 1.2634,                 1.6813,             0.00016349,             0.00016349,             0.00016349
                      8,                 1.2998,                 1.4776,                 1.4999,                0.66371,                0.75268,                0.75117,                 0.4642,                 1.3746,                 1.2056,                 1.6772,             0.00016178,             0.00016178,             0.00016178
                      9,                 1.2899,                 1.4071,                 1.4871,                0.66202,                0.74655,                0.74903,                0.45686,                 1.3759,                 1.1968,                 1.6403,             0.00016008,             0.00016008,             0.00016008
                     10,                  1.271,                 1.3663,                 1.4736,                0.69693,                0.72478,                 0.7488,                0.45459,                 1.4171,                  1.209,                 1.6985,             0.00015838,             0.00015838,             0.00015838
                     11,                 1.2561,                 1.3152,                 1.4748,                 0.7173,                0.74596,                0.76605,                0.47467,                 1.3969,                 1.1197,                 1.6646,             0.00015667,             0.00015667,             0.00015667
                     12,                 1.2461,                 1.2655,                 1.4524,                0.76025,                0.74778,                0.78066,                0.48729,                 1.3683,                 1.0985,                 1.6311,             0.00015497,             0.00015497,             0.00015497
                     13,                 1.2271,                 1.2252,                 1.4449,                0.71478,                 0.7711,                0.78512,                0.48728,                  1.383,                 1.0618,                  1.654,             0.00015327,             0.00015327,             0.00015327
                     14,                 1.2255,                 1.1816,                 1.4366,                0.74649,                 0.7632,                0.78176,                0.48757,                 1.3696,                 1.0901,                  1.645,             0.00015157,             0.00015157,             0.00015157
                     15,                 1.2005,                 1.1391,                 1.4238,                0.75734,                 0.7732,                0.80505,                0.50583,                 1.3619,                  1.018,                 1.6211,             0.00014986,             0.00014986,             0.00014986
                     16,                  1.199,                 1.1311,                 1.4276,                0.77185,                0.77949,                0.81166,                0.51047,                 1.3469,                0.96872,                 1.6317,             0.00014816,             0.00014816,             0.00014816
                     17,                 1.1833,                 1.0854,                 1.4166,                0.76105,                0.75471,                0.78944,                0.48785,                 1.3489,                0.99139,                 1.6351,             0.00014646,             0.00014646,             0.00014646
                     18,                  1.168,                 1.0579,                 1.3995,                0.74159,                0.79208,                0.80917,                0.51164,                 1.3674,                0.93984,                 1.6618,             0.00014476,             0.00014476,             0.00014476
                     19,                  1.159,                 1.0308,                 1.3978,                0.73623,                 0.7866,                0.79631,                0.49947,                 1.3498,                 0.9856,                  1.624,             0.00014305,             0.00014305,             0.00014305
                     20,                 1.1514,                 1.0083,                 1.3868,                0.73407,                0.80322,                0.79956,                0.49974,                 1.3675,                0.95521,                 1.6526,             0.00014135,             0.00014135,             0.00014135
                     21,                 1.1312,                 0.9819,                  1.371,                0.75569,                0.78096,                0.80164,                0.50856,                  1.368,                0.93976,                   1.66,             0.00013965,             0.00013965,             0.00013965
